City_ID,City,Country,Max Temp(C),Current Description,Lat,Lng,Hotel Name
2,Beatrice,US,29.36,scattered clouds,40.2681,-96.74700000000001,Victorian Inn Beatrice
4,Georgetown,MY,26.96,few clouds,5.4112,100.3354,Cititel Penang
6,Rikitea,PF,24.87,overcast clouds,-23.1203,-134.9692,Pension Maro'i
10,Sibolga,ID,23.77,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
14,Arraial Do Cabo,BR,23.34,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
16,Tamandare,BR,24.52,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
19,Kapaa,US,28.44,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Atuona,PF,26.77,broken clouds,-9.8,-139.0333,Villa Enata
30,Muncar,ID,23.94,scattered clouds,-8.4333,114.3333,Zaky Homestay
31,Vaini,TO,25.09,broken clouds,-21.2,-175.2,Keleti Beach Resort
32,Roma,US,31.92,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
38,Puerto Ayora,EC,23.64,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Gushikawa,JP,24.0,mist,26.3544,127.8686,Kirari Guest House
48,Escuinapa,MX,30.95,clear sky,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
54,Millinocket,US,29.01,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
61,Matina,CR,27.65,scattered clouds,10.0761,-83.2895,Hospedaje Lawson
63,Labuhan,ID,25.13,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
64,Faanui,PF,27.21,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Altamira,BR,25.69,broken clouds,-3.2033,-52.2064,Requinte Hotel
70,Lompoc,US,24.45,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
75,Lincoln,US,29.66,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
80,Itoman,JP,24.43,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
81,Kahului,US,26.58,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
84,Buluang,PH,26.9,overcast clouds,13.3068,123.3425,Enon Beach Resort
85,Xinye,CN,25.54,overcast clouds,32.5186,112.3522,Lijing International Hotel
91,Callaway,US,29.39,clear sky,30.153000000000002,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
95,Hilo,US,30.16,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
98,Avarua,CK,25.03,broken clouds,-21.2078,-159.775,Paradise Inn
99,Bethel,US,31.6,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
101,Jamestown,US,27.83,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
105,Tema,GH,26.93,scattered clouds,5.667000000000001,-0.0166,Beulah Royale
110,Jacareacanga,BR,26.0,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
112,Alofi,NU,24.94,broken clouds,-19.0595,-169.9187,Taloa Heights
128,Puerto Ayacucho,VE,25.8,heavy intensity rain,5.6639,-67.6236,Posada Turistica Manapiare
137,Puerto Leguizamo,CO,23.77,overcast clouds,-0.1934,-74.7819,la casona de juancho
139,Mitsamiouli,KM,25.86,broken clouds,-11.3847,43.2844,Foyer ADM
142,Meulaboh,ID,23.44,moderate rain,4.1363,96.1285,Kost Pria
145,Butaritari,KI,28.1,light rain,3.0707,172.7902,Isles Sunset Lodge
146,Manokwari,ID,26.54,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
147,Garissa,KE,24.05,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
152,Mizdah,LY,25.37,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
153,Coari,BR,24.86,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
156,Victoria,HK,28.03,scattered clouds,22.2855,114.1577,Mini Hotel Central
161,Stephenville,US,30.53,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
163,San Carlos,VE,23.03,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
165,Padang,ID,24.22,broken clouds,-0.9492,100.3543,Mercure Padang
167,Kirakira,SB,27.81,light rain,-10.4544,161.9205,SanBiz Lodge
170,Gimli,CA,26.14,scattered clouds,50.6336,-96.9907,Lakeview Gimli Resort
178,Praia,CV,23.3,scattered clouds,14.9215,-23.5087,LT Aparthotel
179,Shenzhen,CN,27.93,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
183,Fare,PF,27.05,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
187,Pangkalanbuun,ID,23.31,light rain,-2.6833,111.6167,Grand Kecubung Hotel
188,Nhulunbuy,AU,27.34,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
190,Dauphin,CA,24.08,clear sky,51.1494,-100.0502,Canway Inn & Suites
196,Sakakah,SA,27.67,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
200,Nicoya,CR,27.75,overcast clouds,10.1483,-85.45200000000001,Guayacan Real
201,Dicabisagan,PH,27.47,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
204,Buala,SB,29.0,light rain,-8.145,159.5921,Maringe Lagoon Lodge
205,Hithadhoo,MV,28.19,few clouds,-0.6,73.0833,Scoop Guest House
207,Cockburn Town,TC,26.65,few clouds,21.4612,-71.1419,Osprey Beach Hotel
208,Nishihara,JP,24.03,mist,26.1842,127.7558,Minshuku Agaihama
213,Kieta,PG,28.06,light rain,-6.2167,155.6333,Uruna Bay Retreat
220,Touros,BR,24.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
221,Susanville,US,27.91,clear sky,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
222,Bengkulu,ID,23.1,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
227,Tshikapa,CD,24.46,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
229,Kavieng,PG,27.95,light rain,-2.5744,150.7967,Nusa Island Retreat
236,Lorengau,PG,28.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
240,Champerico,GT,30.75,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
245,Tevaitoa,PF,27.1,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
248,Lakhipur,IN,23.87,heavy intensity rain,26.0299,90.3041,Rajdhani Hotel
249,Chapais,CA,25.04,broken clouds,49.7834,-74.8492,Hôtel Opémiska
250,Paracuru,BR,27.28,few clouds,-3.41,-39.0306,Hotel Vento Brasil
