City_ID,City,Country,Lat,Lng,Max Temp(C),Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Cape Town,ZA,-33.9258,18.4232,22.23,27,0,5.91,clear sky,2021-06-06 22:56:22
1,Yellowknife,CA,62.456,-114.3525,10.31,53,100,1.79,overcast clouds,2021-06-06 23:00:20
2,Beatrice,US,40.2681,-96.747,29.36,57,40,3.6,scattered clouds,2021-06-06 23:03:47
3,Nome,US,64.5011,-165.4064,2.87,83,100,2.14,overcast clouds,2021-06-06 23:03:49
4,Georgetown,MY,5.4112,100.3354,26.96,90,20,1.32,few clouds,2021-06-06 23:00:14
5,Ullapool,GB,57.8987,-5.1604,12.19,81,99,0.89,overcast clouds,2021-06-06 23:03:51
6,Rikitea,PF,-23.1203,-134.9692,24.87,83,98,6.81,overcast clouds,2021-06-06 22:57:05
7,Ushuaia,AR,-54.8,-68.3,1.82,95,86,3.91,overcast clouds,2021-06-06 23:00:10
8,Busselton,AU,-33.65,115.3333,7.83,78,0,3.5,clear sky,2021-06-06 23:01:46
9,Te Anau,NZ,-45.4167,167.7167,5.84,84,12,0.54,few clouds,2021-06-06 23:03:57
10,Sibolga,ID,1.7427,98.7792,23.77,79,76,1.4,broken clouds,2021-06-06 23:03:58
11,Marawi,PH,7.9986,124.2928,18.14,86,99,0.85,overcast clouds,2021-06-06 23:01:42
12,Saskylakh,RU,71.9167,114.0833,4.02,56,77,2.05,broken clouds,2021-06-06 23:00:50
13,New Norfolk,AU,-42.7826,147.0587,14.4,78,100,0.89,overcast clouds,2021-06-06 23:00:05
14,Arraial Do Cabo,BR,-22.9661,-42.0278,23.34,86,100,9.15,overcast clouds,2021-06-06 23:04:05
15,Ust-Nera,RU,64.5667,143.2,17.45,62,100,3.03,overcast clouds,2021-06-06 23:04:06
16,Tamandare,BR,-8.7597,-35.1047,24.52,85,39,3.7,scattered clouds,2021-06-06 23:02:06
17,Albany,US,42.6001,-73.9662,29.86,55,46,2.25,scattered clouds,2021-06-06 23:01:10
18,Punta Arenas,CL,-53.15,-70.9167,5.06,75,0,5.28,clear sky,2021-06-06 22:58:55
19,Kapaa,US,22.0752,-159.319,28.44,70,20,1.34,few clouds,2021-06-06 23:02:23
20,Ribeira Grande,PT,38.5167,-28.7,18.42,87,100,3.42,overcast clouds,2021-06-06 23:00:44
21,Lithakia,GR,37.7167,20.8333,17.65,81,11,1.33,few clouds,2021-06-06 23:04:14
22,Atuona,PF,-9.8,-139.0333,26.77,62,61,3.01,broken clouds,2021-06-06 22:59:06
23,Tiksi,RU,71.6872,128.8694,6.57,64,100,0.69,overcast clouds,2021-06-06 23:04:16
24,Tasiilaq,GL,65.6145,-37.6368,5.09,91,98,2.34,overcast clouds,2021-06-06 23:04:18
25,Khatanga,RU,71.9667,102.5,1.34,89,97,3.12,overcast clouds,2021-06-06 23:00:47
26,Castro,BR,-24.7911,-50.0119,15.75,71,96,1.56,overcast clouds,2021-06-06 23:04:20
27,Mar Del Plata,AR,-38.0023,-57.5575,12.29,68,0,4.02,clear sky,2021-06-06 22:57:29
28,Narsaq,GL,60.9167,-46.05,12.12,66,100,1.52,overcast clouds,2021-06-06 23:04:22
29,Makinsk,KZ,52.6292,70.4169,11.12,46,5,1.34,clear sky,2021-06-06 23:04:24
30,Muncar,ID,-8.4333,114.3333,23.94,93,38,0.64,scattered clouds,2021-06-06 23:04:25
31,Vaini,TO,-21.2,-175.2,25.09,78,75,6.17,broken clouds,2021-06-06 22:57:02
32,Roma,US,43.2128,-75.4557,31.92,47,1,3.6,clear sky,2021-06-06 23:04:27
33,Shklo,UA,49.9567,23.5441,13.33,88,13,1.48,few clouds,2021-06-06 23:04:29
34,Brentwood,US,40.7812,-73.2462,32.3,60,75,1.79,broken clouds,2021-06-06 23:03:25
35,Sinop,TR,41.7711,34.8709,10.64,68,6,3.54,clear sky,2021-06-06 23:04:31
36,North Bend,US,43.4065,-124.2243,19.97,70,7,5.67,clear sky,2021-06-06 23:00:09
37,Mataura,NZ,-46.1927,168.8643,9.71,77,59,1.51,broken clouds,2021-06-06 22:59:52
38,Puerto Ayora,EC,-0.7393,-90.3518,23.64,90,38,0.89,scattered clouds,2021-06-06 23:00:39
39,Qaanaaq,GL,77.484,-69.3632,4.65,76,59,2.41,broken clouds,2021-06-06 22:58:23
40,Galesong,ID,-5.3166,119.3661,21.01,70,26,2.14,scattered clouds,2021-06-06 23:04:38
41,Provideniya,RU,64.3833,-173.3,7.06,61,75,3.0,broken clouds,2021-06-06 23:04:39
42,Ancud,CL,-41.8697,-73.8203,11.24,85,100,7.31,light rain,2021-06-06 23:04:41
43,Gushikawa,JP,26.3544,127.8686,24.0,88,90,3.76,mist,2021-06-06 23:04:42
44,Grand Gaube,MU,-20.0064,57.6608,21.88,85,12,0.89,light rain,2021-06-06 23:04:43
45,Mount Gambier,AU,-37.8333,140.7667,12.95,71,100,8.23,overcast clouds,2021-06-06 23:04:44
46,Clyde River,CA,70.4692,-68.5914,1.13,93,90,5.14,overcast clouds,2021-06-06 23:04:46
47,Carnarvon,AU,-24.8667,113.6333,19.66,48,100,6.75,overcast clouds,2021-06-06 23:00:21
48,Escuinapa,MX,22.85,-105.8,30.95,51,5,4.69,clear sky,2021-06-06 23:04:48
49,Coahuayana,MX,18.7333,-103.6833,33.71,54,79,3.01,broken clouds,2021-06-06 23:04:49
50,Iqaluit,CA,63.7506,-68.5145,0.85,93,75,2.24,light snow,2021-06-06 22:57:53
51,Barrow,US,71.2906,-156.7887,0.01,86,90,6.17,mist,2021-06-06 23:04:53
52,Batagay-Alyta,RU,67.8006,130.4114,9.48,52,96,3.79,overcast clouds,2021-06-06 23:02:35
53,Hermanus,ZA,-34.4187,19.2345,19.39,44,1,5.11,clear sky,2021-06-06 23:00:28
54,Millinocket,US,45.6573,-68.7098,29.01,61,1,0.0,clear sky,2021-06-06 23:04:56
55,East London,ZA,-33.0153,27.9116,16.82,39,0,4.13,clear sky,2021-06-06 22:58:53
56,Tinskoy,RU,56.1525,96.9161,10.43,75,67,5.64,light rain,2021-06-06 23:05:00
57,Mpika,ZM,-11.8343,31.4529,11.96,75,98,3.17,overcast clouds,2021-06-06 23:05:01
58,Thompson,CA,55.7435,-97.8558,17.0,69,100,3.74,overcast clouds,2021-06-06 23:02:51
59,Saint-Philippe,RE,-21.3585,55.7679,22.77,86,77,6.18,light rain,2021-06-06 22:57:20
60,Olafsvik,IS,64.8945,-23.7142,8.39,88,100,1.69,overcast clouds,2021-06-06 23:05:06
61,Matina,CR,10.0761,-83.2895,27.65,81,45,1.38,scattered clouds,2021-06-06 23:05:07
62,Hobart,AU,-42.8794,147.3294,14.59,76,75,1.79,broken clouds,2021-06-06 22:59:59
63,Labuhan,ID,-6.8844,112.2051,25.13,87,15,2.73,few clouds,2021-06-06 23:05:09
64,Faanui,PF,-16.4833,-151.75,27.21,77,82,5.24,broken clouds,2021-06-06 23:01:14
65,Geraldton,AU,-28.7667,114.6,13.23,82,94,7.9,overcast clouds,2021-06-06 23:00:28
66,Mareeba,AU,-17.0,145.4333,20.24,87,86,2.65,overcast clouds,2021-06-06 23:05:13
67,Pisco,PE,-13.7,-76.2167,18.34,82,3,2.65,clear sky,2021-06-06 23:01:04
68,Severo-Kurilsk,RU,50.6789,156.125,6.11,93,100,4.87,overcast clouds,2021-06-06 22:58:40
69,Altamira,BR,-3.2033,-52.2064,25.69,71,55,0.81,broken clouds,2021-06-06 23:05:16
70,Lompoc,US,34.6391,-120.4579,24.45,73,11,4.02,few clouds,2021-06-06 22:59:22
71,Lebu,CL,-37.6167,-73.65,9.33,79,91,1.88,overcast clouds,2021-06-06 22:59:57
72,Cidreira,BR,-30.1811,-50.2056,17.25,76,100,4.94,moderate rain,2021-06-06 23:02:29
73,Bluff,NZ,-46.6,168.3333,9.89,80,61,3.72,broken clouds,2021-06-06 23:01:29
74,Gat,IL,31.61,34.7642,20.38,74,0,0.61,clear sky,2021-06-06 23:02:05
75,Lincoln,US,40.8,-96.667,29.66,58,1,1.79,clear sky,2021-06-06 23:05:23
76,Kurya,RU,51.6003,82.2888,9.77,84,1,2.66,clear sky,2021-06-06 23:05:24
77,Chokurdakh,RU,70.6333,147.9167,3.82,68,99,2.58,overcast clouds,2021-06-06 23:02:44
78,Saint Anthony,US,45.0205,-93.218,33.18,38,1,2.24,clear sky,2021-06-06 23:01:07
79,Kenai,US,60.5544,-151.2583,20.57,66,10,3.32,clear sky,2021-06-06 23:05:28
80,Itoman,JP,26.1247,127.6694,24.43,92,75,6.17,broken clouds,2021-06-06 23:05:29
81,Kahului,US,20.8947,-156.47,26.58,75,30,4.92,scattered clouds,2021-06-06 23:05:30
82,Krasnovishersk,RU,60.4078,57.082,11.5,76,83,0.77,broken clouds,2021-06-06 23:05:32
83,Mount Isa,AU,-20.7333,139.5,15.87,41,0,1.54,clear sky,2021-06-06 23:05:33
84,Buluang,PH,13.3068,123.3425,26.9,85,100,0.37,overcast clouds,2021-06-06 23:05:34
